,,,,,,
Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2021-03-03,461,74820,31894898,435,421,428
2021-03-02,634,70484,30698989,449,430,435
2021-03-01,617,86938,38471331,449,435,445
2021-02-28,696,87385,38649813,450,438,441
2021-02-25,330,60468,27482918,466,450,455
2021-02-24,341,76992,35517767,477,453,459
2021-02-23,399,61301,27730524,460,446,455
2021-02-22,411,99940,46593183,474,460,464
2021-02-21,551,117339,55563339,484,467,473
2021-02-18,601,117240,55476998,479,465,472
2021-02-17,501,119712,55252002,469,456,467
2021-02-16,559,103729,47992264,468,452,462
2021-02-15,313,64582,29225643,470,449,456
2021-02-14,295,52654,23662565,455,446,448
2021-02-11,315,58376,26531830,464,451,451
2021-02-10,231,35029,15934818,461,449,457
2021-02-09,321,61086,27934647,480,451,453
2021-02-08,533,107995,49177016,480,446,462
2021-02-07,324,68729,30839677,452,447,450
2021-02-04,343,77015,34646412,459,442,451
2021-02-03,533,91296,41606231,464,447,451
2021-02-02,316,76206,34084959,453,445,450
2021-02-01,277,39012,17401319,459,440,446
2021-01-31,441,115291,51261165,458,441,445
2021-01-28,500,113805,52150043,470,453,459
2021-01-27,404,87784,41500714,485,468,470
2021-01-26,931,216204,102584003,490,460,484
2021-01-25,592,125936,57046915,464,444,460
2021-01-24,420,58964,26389873,456,445,446
2021-01-21,277,48043,21286498,466,441,444
2021-01-20,260,43511,19350241,450,443,444
2021-01-19,280,64531,28746361,450,443,449
2021-01-18,291,61879,27938993,456,448,448
2021-01-17,249,52720,23992618,459,452,453
2021-01-13,246,52729,23960330,460,450,450
2021-01-12,198,28076,12747039,473,451,454
2021-01-11,293,59076,26783747,459,450,451
2021-01-10,432,90717,40522951,450,438,450
2021-01-07,214,39177,17078234,443,432,438
2021-01-06,183,33745,14696084,438,431,438
2021-01-05,156,22837,9969048,443,431,435
2021-01-04,229,29054,12755181,445,435,439
2021-01-03,293,46462,20291090,441,433,440
2020-12-31,314,48740,20805836,432,416,425
2020-12-30,272,30138,12654513,435,415,422
2020-12-29,557,96176,47092900,494,487,488
2020-12-28,214,32570,16018336,495,485,492
2020-12-27,239,42183,20801852,496,488,493
2020-12-24,371,57679,28394562,500,489,493
2020-12-23,415,73410,37082304,516,495,500
2020-12-22,462,85171,42460310,503,490,503
2020-12-21,579,103564,50256463,498,474,485
2020-12-20,645,104745,52395512,520,483,492
2020-12-17,445,87068,45265722,530,515,518
2020-12-16,379,76542,40313257,550,524,527
2020-12-15,581,117229,62330404,545,527,528
2020-12-14,1474,323130,173431323,561,527,535
2020-12-13,551,136826,74716586,555,538,552
2020-12-10,259,54470,29054862,538,526,535
2020-12-09,345,92328,49759882,547,534,536
2020-12-08,758,227923,124308225,552,530,547
2020-12-07,520,131127,68454221,533,510,532
2020-12-06,485,171129,89776794,533,516,517
2020-12-03,344,90643,48245313,540,528,532
2020-12-02,436,111361,58971652,536,520,535
2020-12-01,582,151300,80158031,541,516,530
2020-11-30,677,169861,92632843,576,535,541
2020-11-29,767,230701,125767798,559,524,554
2020-11-26,430,85540,44934889,532,520,525
2020-11-25,423,107865,55759638,525,511,519
2020-11-24,311,66020,33873311,517,510,512
2020-11-23,592,196565,100303247,515,506,512
2020-11-22,605,152315,77002047,512,495,505
2020-11-19,295,71429,35073486,511,489,491
2020-11-18,501,143816,69516294,495,470,487
2020-11-12,406,86382,41531034,484,475,484
2020-11-11,299,69277,33110205,482,472,479
2020-11-10,172,80125,37687124,475,468,470
2020-11-09,187,33751,15930716,474,468,472
2020-11-08,168,26833,12599399,472,468,471
2020-11-05,303,102758,48089830,476,462,470
2020-11-04,186,33667,15636972,468,462,464
2020-11-03,243,53871,25160965,480,465,467
2020-11-02,230,52560,24876753,479,469,469
2020-11-01,319,116363,55309956,479,468,477
2020-10-29,557,114747,54794941,483,471,472
2020-10-28,464,83397,38938338,474,456,473
2020-10-22,326,68836,31146580,455,450,454
2020-10-21,263,48986,21975287,450,443,450
2020-10-20,110,28155,12449165,444,441,442
2020-10-19,92,23791,10457528,441,436,440
2020-10-18,120,28101,12337613,441,437,439
2020-10-15,181,35904,15781376,445,437,442
2020-10-14,150,19883,8692172,440,436,439
2020-10-13,100,18523,8135690,440,438,439
2020-10-12,153,35458,15555436,455,436,440
2020-10-11,185,27787,12222562,442,438,439
2020-10-08,233,37815,16826499,450,442,443
2020-10-07,252,55530,24840967,451,444,448
2020-10-06,450,118829,52769434,450,439,450
2020-10-05,195,40920,18011356,443,438,439
2020-10-04,333,77867,34367444,445,440,440
2020-10-01,156,17254,7569999,440,435,439
2020-09-30,152,37898,16510704,445,434,436
2020-09-29,150,45801,20123201,441,437,438
2020-09-28,190,31645,13938606,443,439,441
2020-09-27,287,66164,29061694,442,433,440
2020-09-24,154,43273,18838499,438,431,435
2020-09-23,177,38716,16795793,438,430,436
2020-09-22,309,93124,40512495,440,431,434
2020-09-21,298,54729,23939779,441,432,436
2020-09-20,280,53218,23477474,450,435,440
2020-09-17,326,99827,43278327,451,428,437
2020-09-16,142,35281,15146381,435,426,430
2020-09-15,224,36125,15643116,440,429,433
2020-09-14,343,66323,28833011,439,429,435
2020-09-13,206,40426,17276363,429,425,429
2020-09-10,166,30653,13042745,444,422,425
2020-09-09,167,30486,12838279,443,418,423
2020-09-08,146,18591,7821382,424,417,422
2020-09-07,200,30894,13097838,429,422,424
2020-09-06,299,51535,22416879,447,429,429
2020-09-03,249,54999,23870722,438,430,432
2020-09-02,406,108553,47330139,440,432,436
2020-08-31,242,40437,17259504,431,423,429
2020-08-30,139,20137,8538916,446,421,424
2020-08-27,145,30360,12934989,430,425,425
2020-08-26,241,39150,16636041,429,420,426
2020-08-25,197,39774,16763494,427,419,421
2020-08-24,231,30112,12593335,420,415,420
2020-08-23,84,8109,3340366,419,411,414
2020-08-20,63,8351,3426715,412,406,412
2020-08-19,168,25812,10604297,415,408,409
2020-08-18,118,16446,6833721,418,411,417
2020-08-17,146,20840,8552541,415,406,415
2020-08-16,199,34679,14255478,416,405,410
2020-08-13,132,27971,11636379,425,414,415
2020-08-12,106,25454,10678938,422,414,419
2020-08-11,143,26345,11098187,427,418,419
2020-08-10,201,30437,12802718,432,413,425
2020-08-09,162,33276,13555825,412,399,412
2020-08-06,185,33954,13697184,408,401,406
2020-08-05,202,37294,15120480,419,402,404
2020-08-03,179,26260,10785469,418,405,411
2020-08-02,367,64556,26822481,422,406,406
2020-07-30,161,34944,14753134,429,415,427
2020-07-29,221,61718,26266840,432,421,422
2020-07-28,151,30474,13174150,435,428,432
2020-07-27,222,52250,22780805,440,430,433
2020-07-26,259,60056,26005338,436,422,434
2020-07-23,206,33121,14073464,430,418,428
2020-07-22,263,55050,23499388,445,420,426
2020-07-21,382,70227,30578724,446,427,431
2020-07-20,717,152858,68092921,475,424,442
2020-07-19,5,90,37840,432,408,432
2020-07-16,262,49834,19851056,405,389,400
2020-07-15,177,34899,13356317,388,376,385
2020-07-14,68,9391,3518686,378,372,375
2020-07-13,129,38001,14255102,382,373,375
2020-07-12,114,20839,7743924,377,368,375
2020-07-09,94,10849,3992157,371,360,368
2020-07-08,122,15958,5884211,375,362,368
2020-07-07,153,16559,6193253,379,367,374
2020-07-06,101,25485,9168079,368,349,365
2020-07-05,165,29844,10573328,365,345,356
2020-07-02,78,13518,4961644,394,343,345
2020-07-01,53,16073,6031916,384,350,380
2020-06-30,33,4499,1531567,352,320,350
2020-06-29,96,12955,4203324,341,313,329
2020-05-13,6,240,83430,350,347,347
2020-05-12,6,470,168590,361,357,357
2020-03-22,35,5639,2049363,376,362,368
2020-03-19,214,34900,12872297,385,360,376
2020-03-18,211,54659,20168668,385,361,374
2020-03-17,219,45920,17239532,380,370,378
2020-03-16,173,34352,13129517,391,371,382
2020-03-15,316,67992,26126277,394,378,382
2020-03-12,308,66328,26206574,410,390,397
2020-03-11,280,73399,29189227,407,378,406
2020-03-10,149,44333,17141923,397,380,380
2020-03-05,233,51446,20980918,416,400,405
2020-03-04,254,59890,24900666,425,410,416
2020-03-03,385,83824,35385793,445,390,425
